Frame,p1xaxis,p1yaxis,p2xaxis,p2yaxis,p3xaxis,p3yaxis,tree1,tree2,tree3,AB,BC
484,43,238,429,203,651,163,100,200,100,100,150
485,43,238,429,203,651,163,100,200,100,100,150
486,43,238,429,203,651,163,100,200,100,100,150
487,43,238,430,203,651,163,100,200,100,100,150
488,43,238,430,203,651,163,100,200,100,100,150
489,43,238,429,204,651,163,100,200,100,100,150
490,43,238,430,204,651,163,100,200,100,100,150
491,43,238,430,204,651,163,100,100,100,50,50
492,43,238,430,204,651,163,100,100,100,50,50
493,43,238,430,204,651,163,100,100,100,50,50
494,43,238,430,204,651,163,100,100,100,50,50
495,43,238,430,204,651,163,100,100,100,50,50
496,43,238,430,204,651,163,100,100,100,50,50
497,43,238,430,204,651,163,100,100,100,50,50
498,43,238,430,204,651,163,100,100,100,50,50
499,43,238,429,205,651,163,100,200,100,100,150
500,43,238,429,205,651,163,100,200,100,100,150
501,43,238,429,205,651,163,100,100,100,50,50
502,43,238,429,205,651,163,100,100,100,50,50
503,43,238,429,205,651,163,100,100,100,50,50
504,93,240,429,205,651,163,200,100,100,150,50
505,93,240,406,206,651,163,100,200,100,100,150
506,93,240,406,206,651,163,100,100,100,50,50
507,94,241,406,206,651,163,200,100,100,150,50
508,94,241,406,206,651,163,200,100,100,150,50
509,93,242,406,206,651,163,200,100,100,150,50
510,94,241,406,206,651,163,200,100,100,150,50
511,94,242,406,207,651,163,200,200,100,100,150
512,94,242,406,207,651,163,200,200,100,100,150
513,94,243,406,207,651,163,200,100,100,150,50
514,94,242,406,207,651,163,200,100,100,150,50
515,93,242,406,207,651,163,200,100,100,150,50
516,94,241,407,239,651,163,200,200,100,150,50
517,95,243,407,239,651,163,200,100,100,150,50
518,94,243,407,239,651,163,200,100,100,150,50
519,94,241,407,239,651,163,200,100,100,150,50
520,94,242,407,239,651,163,200,100,100,150,50
521,94,241,430,239,651,163,200,200,100,150,50
522,94,240,429,239,651,163,200,200,100,150,50
523,94,241,429,239,651,163,200,100,100,150,50
524,94,242,429,239,651,163,200,200,100,150,50
525,94,242,429,239,651,163,200,100,100,150,50
526,94,242,429,239,651,163,200,100,100,150,50
527,94,240,408,239,651,163,200,200,100,150,50
